년도/월,명목gdp,경제성장률,경상수지,무역수지,소비자물가,생산자물가,기준금리,콜금리,코스피지수,코스닥지수,나스닥변동률,외국인보유금,외국인보유금(시가총액대비),엔달러절상율,원달러절상율,환율
200409,908439,5.2,4146,2638,3.9,7.5,3.5,3.52,835.09,362.08,0.032,173.1,41.9,-3.5,3.5,1151.8
200410,908439,5.2,2179,2255,3.8,7.3,3.5,3.52,834.84,357.04,0.0412,171.3,41.3,0.8,6.5,1119.6
200411,908439,5.2,4145,2765,3.3,6.9,3.25,3.34,878.06,373.43,0.0617,179.1,41.2,3.8,13.8,1048.2
200412,908439,5.2,3047,2230,3,5.4,3.25,3.27,895.92,380.33,0.0375,179.7,40.5,4.3,15.2,1035.1
200501,957448,4.3,1398,3004,3.4,5,3.25,3.26,932.7,472.95,-0.052,190.4,40.5,-1,0.9,1025.6
200502,957448,4.3,752,2004,3.4,3.9,3.25,3.26,1011.36,498.38,-0.0052,206.4,40.3,-2,2.9,1006
200503,957448,4.3,1316,1172,3,3,3.25,3.24,965.68,455.03,-0.0256,195,39.9,-4.3,1.9,1015.5
200504,957448,4.3,-1735,1629,3.1,2.8,3.25,3.25,911.3,424.4,-0.0388,182.6,39.7,-2.7,3.2,1002.8
200505,957448,4.3,546,1961,3.1,1.9,3.25,3.29,970.21,471.48,0.0763,194,39.4,-5.3,2.7,1007.7
200506,957448,4.3,959,2419,2.8,1.5,3.25,3.27,1008.16,503.21,-0.0054,200.7,39.1,-6.9,0.9,1025.4
200507,957448,4.3,622,1727,2.6,1.7,3.25,3.24,1111.29,546.68,0.0622,223.8,39.3,-8.6,0.8,1026.8
200508,957448,4.3,974,1342,2,1.1,3.25,3.24,1083.33,503.95,-0.015,218.9,39.6,-7.1,-0.3,1038.5
200509,957448,4.3,725,1800,2.5,1.1,3.25,3.24,1221.01,571.95,-0.0002,244,39.1,-9.3,-0.6,1041.1
200510,957448,4.3,3015,2700,2.3,1.4,3.5,3.45,1158.11,587.46,-0.0146,229.2,38.3,-11.3,-0.5,1040.2
200511,957448,4.3,1866,1976,2.5,1,3.5,3.49,1297.44,712.39,0.0531,254.5,37.5,-14,0.2,1033.5
200512,957448,4.3,1771,1446,2.6,1.4,3.75,3.7,1379.37,701.79,-0.0123,270.2,37.2,-13,2.3,1011.6
200601,1005602,5.3,-78,169,2.2,0.8,3.75,3.74,1399.83,690.24,0.0456,281.7,38.2,0.3,4.9,964.6
200602,1005602,5.3,-3245,279,2,0.7,4,3.92,1371.59,682.36,-0.0106,276.9,37.6,1.4,4.2,970.9
200603,1005602,5.3,-1625,895,2,0.4,4,3.97,1359.6,655.21,0.0256,277.2,37.8,0.4,4.1,971.6
200604,1005602,5.3,-3429,1104,2,0.4,4,3.97,1419.73,685.44,-0.0074,287.5,37.6,3.2,7.2,943.4
200605,1005602,5.3,-44,1725,2.3,1.4,4,3.96,1317.7,630.5,-0.0619,264.6,37.3,5.2,7,945.6
200606,1005602,5.3,2190,1926,2.4,1.6,4.25,4.17,1295.15,590.68,-0.0031,259,37.2,2.9,6.6,948.9
200607,1005602,5.3,-698,224,2.4,1.3,4.25,4.21,1297.82,557.66,-0.0371,256.5,36.9,3.1,5.9,955.2
200608,1005602,5.3,-1541,258,2.7,1.7,4.5,4.42,1352.74,572.83,0.0441,261.9,35.9,0.4,5.2,961.4
200609,1005602,5.3,3088,2014,2.5,1.6,4.5,4.47,1371.41,600.42,0.0342,263.4,35.5,0,6.9,946.2
200610,1005602,5.3,2688,2394,2.2,0.4,4.5,4.48,1364.55,586.1,0.0479,260.8,35.4,0.4,7.4,942.3
200611,1005602,5.3,4456,3837,2.1,0.2,4.5,4.47,1432.21,622.17,0.0275,271,34.9,1.5,8.8,929.5
200612,1005602,5.3,332,1257,2.1,0.4,4.5,4.5,1434.46,606.15,-0.0068,272.8,35.1,-0.7,8.8,929.8
200701,1089660,5.8,214,533,1.7,0.1,4.5,4.63,1360.23,576.37,0.0201,277.6,37.6,-2.2,-1.2,941
200702,1089660,5.8,-729,819,2.2,0.1,4.5,4.6,1417.34,600.93,-0.0194,291.8,38,0.4,-1.3,941.8
200703,1089660,5.8,-1160,1091,2.2,0.6,4.5,4.6,1452.55,648.99,0.0023,297.9,37.6,0.9,-1.2,940.9
200704,1089660,5.8,-2241,347,2.5,1.1,4.5,4.69,1542.24,675.88,0.0427,314.3,37.4,-0.7,-0.1,930.8
200705,1089660,5.8,-2295,1183,2.3,1.4,4.5,4.61,1700.91,747.87,0.0315,336.4,36.2,-2.3,0.2,927.7
200706,1089660,5.8,1582,3492,2.5,1.8,4.5,4.54,1743.6,778.69,-0.0005,343.1,35.6,-3.8,0.6,923.8
200707,1089660,5.8,2569,984,2.5,1.6,4.75,4.67,1933.27,811.52,-0.0221,369.9,34.6,-0.1,1.1,919.3
200708,1089660,5.8,2223,1356,2,0.9,5,4.92,1873.24,775.13,0.02,348.4,33.6,2.2,-0.9,938.3
200709,1089660,5.8,4313,2130,2.3,1,5,4.98,1946.48,794.56,0.0405,359.8,33.3,3.1,1.6,915.1
200710,1089660,5.8,1914,1693,3,2.2,5,5,2064.85,810.07,0.0583,372.1,32.6,3.5,3.2,900.7
200711,1089660,5.8,3260,1882,3.5,3.1,5,5,1906,741.84,-0.0693,344.7,32.6,7.6,0.9,921.1
