년도/월,경상수지,무역수지,코스피지수,나스닥변동률,외국인보유금(시가총액대비),엔달러절상율,원달러절상율,환율
201112,1738,2256,1825.74,-0.0058,30.6,4.7,-1.5,1151
201201,-2288,-2317,1955.79,0.0801,31,2.1,2.5,1123
201202,-2584,1216,2030.25,0.0544,30.9,-3.1,3,1118
201203,3580,2277,2014.04,0.042,31.6,-5.1,1.7,1133
201204,-145,2138,1981.99,-0.0146,32.3,-2.9,1.9,1130
201205,5016,2392,1843.47,-0.0719,31.7,-1.3,-2.4,1180
201206,6069,5169,1854.01,0.0381,31.5,-2,0.6,1145
201207,8376,2691,1881.99,0.0015,31.9,-0.6,1.9,1130
201208,1618,1929,1905.12,0.0434,31.7,-0.9,1.5,1134
201209,6484,2853,1996.21,0.0161,32,0.4,3.6,1111.4
201210,7288,3708,1912.06,-0.0446,31.9,-2.3,5.6,1090.7
201211,8188,4423,1932.9,0.0111,32.1,-5.6,6.4,1082.9
201212,7189,1806,1984.8,0.0031,32.5,-10.1,7.6,1070.6
201301,2752,376,1961.9,0.0406,32.3,-4.9,-1.7,1089
201302,2213,1874,2026.5,0.0057,32.5,-6.4,-1.1,1083
201303,6740,3336,2004.9,0.034,32.1,-8.1,-3.6,1111
201304,5040,2510,1964,0.0188,31.6,-11.5,-2.8,1101
201305,9608,5918,2001.05,0.0382,31.9,-14.3,-5.2,1129.7
201306,6825,5972,1863.32,-0.0152,31.4,-12.5,-6.3,1142
201307,6965,2446,1914.03,0.0656,31,-11.7,-4.7,1123.5
201308,6389,4717,1926.36,-0.0101,31.8,-11.9,-3.5,1110
201309,7848,3595,1996.96,0.0506,32.2,-11.6,-0.4,1074.7
201310,10724,4875,2030.09,0.0393,33.1,-12.1,0.9,1060.7
201311,5892,4799,2044.87,0.0358,33.3,-15.4,1.2,1058.2
201312,6264,3630,2011.34,0.0287,33,-17.9,1.4,1055.4
201401,1838,814,1941.15,-0.0174,32.5,1.9,-1.4,1070.4
201402,4813,850,1979.99,0.0498,32.6,3.5,-1.1,1067.5
201403,6183,3505,1985.61,-0.0253,32.3,2.4,-0.9,1064.7
201404,6876,4394,1961.79,-0.0201,32.5,2.9,2.1,1033.2
201405,9148,4970,1994.96,0.0311,33,3.6,3.5,1020.1
201406,7769,5352,2002.21,0.039,32.9,4,4.3,1011.8
201407,6199,2341,2076.12,-0.0087,33.4,2.5,2.7,1027.9
201408,6794,3316,2068.54,0.0482,33,1.4,4.1,1014
201409,7419,3261,2020.09,-0.019,32.5,-3.7,0,1055.2
201410,8605,7534,1964.43,0.0306,32.6,-5.1,-1.2,1068.5
201411,10583,5262,1980.78,0.0347,32.2,-10.9,-4.7,1107.9
201412,6805,5551,1915.59,-0.0116,31.6,-12.5,-4,1099.3
201501,7076,5822,1949.26,-0.0213,31.6,2.2,0.5,1093.5
201502,6136,7474,1985.8,0.0708,31.1,1,0.1,1098.4
201503,9762,8337,2041.03,-0.0126,31.2,0.3,-0.9,1109.5
201504,7222,8363,2127.17,0.0083,31,1.5,2.5,1072.4
201505,7959,6287,2114.8,0.026,30.5,-2.8,-0.8,1108.2
201506,11546,9957,2074.2,-0.0164,29.7,-1.6,-1.5,1115.5
201507,9367,7049,2030.16,0.0284,29.2,-2.9,-6,1170
201508,8119,4335,1941.49,-0.0686,28.8,-0.6,-7,1182.5
201509,10600,8891,1962.81,-0.0327,29,0.4,-7.3,1185.3
201510,9561,6589,2029.47,0.0938,29.8,-0.6,-3.6,1140.1
201511,9728,10235,1991.97,0.0109,29.3,-1.9,-5.1,1158.1
201512,8043,6918,1961.31,-0.0198,29.1,0,-6.2,1172.5
201601,7317,4938,1912.06,-0.0786,28.6,-0.1,-2.2,1199.1
201602,7928,6762,1916.66,-0.0121,28.9,6.6,-5.2,1236.7
201603,11123,9658,1995.85,0.0684,29.4,7.2,2.5,1143.5
201604,4184,8693,1994.15,-0.0194,29.3,12.2,2.9,1139.3
201605,10491,6709,1983.4,0.0362,29.5,8.2,-1.6,1191.7
201606,12410,11319,1970.35,-0.0213,30,17.3,1.8,1151.8
201607,8832,7510,2016.19,0.066,30.3,16.2,4.7,1120.2
201608,5410,5021,2034.65,0.0099,31.1,16.7,5.2,1114.8
201609,7518,6858,2043.63,0.0189,31.1,19.4,6.5,1101.3
201610,7477,6933,2008.19,-0.0231,31.7,14.9,2.4,1144.5
201611,7873,8068,1983.48,0.0259,32,6.9,0.3,1169.1
201612,7362,6765,2026.46,0.0112,31.8,3.2,-2.9,1207.7
201701,3402,2612,2067.57,0.043,32.6,2.8,3.9,1162.1
201702,7439,6964,2091.64,0.0375,32.4,3.8,6.8,1130.7
201703,5140,6059,2160.23,0.0148,33,4.3,8,1118.4
201704,3184,12885,2205.44,0.023,33.3,4.9,6.1,1137.9
201705,4262,5639,2347.38,0.025,33.5,5.1,7.9,1119.5
201706,7009,10721,2391.79,-0.0094,33.7,4.1,5.6,1144.1
201707,7467,10223,2402.71,0.0338,33.4,5.5,7.9,1119
201708,6139,6556,2363.19,0.0127,33.9,5.5,7.1,1127.8
201709,12338,13419,2394.47,0.0105,34.4,3.5,5.4,1145.4
201710,6890,6934,2523.43,0.0357,34.6,3.2,7.8,1120.4
201711,7474,7693,2476.37,0.0217,33.8,4,11,1088.2
201712,4487,5511,2467.49,0.0043,33.6,3.5,12.8,1070.5
201801,2557,3416,2566.46,0.0736,33,1.2,0.2,1067.9
201802,3227,2801,2427.36,-0.0187,32.9,5.3,-1.1,1082.8
201803,5210,6412,2445.85,-0.0288,32.7,6.2,0.7,1063.5
201804,1490,6156,2515.38,0.0004,32.8,3.3,0.2,1068
201805,8792,6229,2423.01,0.0532,32.7,3.7,-0.7,1077.7
201806,7980,6079,2326.13,0.0092,32.7,1.9,-3.9,1114.5
201807,8874,6893,2295.26,0.0215,33,1.3,-4.3,1118.7
201808,8581,6820,2322.88,0.0571,32.8,1.6,-3.8,1112.9
201809,11236,9617,2343.07,-0.0078,32.3,-0.6,-3.5,1109.3
201810,9474,6380,2029.69,-0.092,33.1,-0.4,-6.1,1139.6
201811,5131,4671,2096.86,0.0034,32.3,-0.5,-4.5,1121.2
201812,4914,4182,2041.04,-0.0948,32.1,2,-4.1,1115.7
201901,3296,1016,2204.85,0.0974,32.3,1.7,0.3,1112.7
201902,3850,2830,2195.44,0.0344,32.1,-0.1,-0.8,1124.7
201903,5040,5011,2140.67,0.0261,32.2,-0.1,-1.7,1135.1
201904,-393,3734,2203.59,0.0474,32.4,-0.7,-4.5,1168.2
201905,5176,2084,2041.74,-0.0793,32.3,1.5,-6.3,1190.9
201906,5665,3904,2130.62,0.0742,32.7,2.7,-3.4,1154.7
201907,6585,2316,2024.55,0.0211,33.5,1.9,-5.7,1183.1
201908,4861,1563,1967.79,-0.026,33.3,4,-7.9,1211.2
201909,7759,5888,2063.05,0.0046,33.6,2.6,-6.7,1196.2
201910,7827,5252,2083.48,0.0366,33.2,1.8,-4.1,1163.4
201911,5975,3312,2087.96,0.045,33.1,1,-5.5,1181.2
201912,4331,1981,2197.67,0.0354,33.3,0,0,1156.4
202001,1007,373,2119.01,0.0199,33.8,0.1,-3,1191.8
202002,6367,3900,1987.01,-0.0638,33.7,0.2,-4.7,1213.7
202003,5961,4371,1754.64,-0.1012,32.4,0.7,-5,1217.4
202004,-3331,-1608,1947.56,0.1545,31.5,2.4,-5.1,1218.2
202005,2286,386,2029.6,0.0675,30.9,1.8,-6.6,1238.5
202006,6880,3621,2108.33,0.0599,30.9,1.3,-3.9,1203
202007,7452,4134,2249.37,0.0682,30.8,4.6,-2.9,1191.3
202008,6566,3732,2326.17,0.0959,30,3.3,-2.6,1187.8
202009,10126,8498,2327.89,-0.0516,30.3,3.3,-1.1,1169.5
202010,11551,5791,2267.15,-0.0229,30.4,4.7,1.9,1135.1
202011,9177,5904,2591.34,0.118,30.8,5,4.5,1106.5
202012,11507,6772,2873.47,0.0565,31.4,5.6,6.5,1086.3
202101,7060,3762,2976.21,0.0142,31.6,-1.1,-2.9,1118.8
202102,8034,2616,3012.95,0.0093,31.6,-2.6,-3.3,1123.5
202103,,,3061.57,0.0041,31.3,-6.7,-4,1131.8
